"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"603","GEORGE HALL ELEM SCH","010237001556","97","01","-88.077000","30.665800",-1,5,529
"604","GEORGE P AUSTIN JR HIGH SCH","010213000811","91","01","-87.789000","32.299100",6,8,102
"605","GEORGE W LONG HIGH SCH","010105000390","45","01","-85.550900","31.559000",7,12,400
"606","GEORGE W WATTS ELEM SCH","010351001353","131","01","-87.001100","31.910100",0,6,524.598433921844
"607","GEORGE WASHINGTON CARVER ELEM SCH","010219001863","87","01","-85.670000","32.407400",-1,3,541
"608","GEORGE WASHINGTON CARVER HIGH SCH","010039001468","73","01","-86.828000","33.558400",9,12,902
"609","GEORGIA WASHINGTON JR HIGH SCH","010243001016","101","01","-86.102700","32.355000",6,8,661
"610","GEORGIANA SCHOOL","010051002144","13","01","-86.729900","31.626800",-1,12,516
"611","GERALDINE SCH","010114000416","49","01","-86.003200","34.351000",0,12,1209
"612","GIBSON ELEM SCH","010039000128","73","01","-86.762300","33.541800",0,5,524.598433921844
"613","GIRARD ELEM SCH","010123000448","69","01","-85.421000","31.240100",0,5,306
"614","GIRARD MIDDLE SCH","010123000447","69","01","-85.420800","31.242100",6,8,510
"615","GLEN IRIS ELEM SCH","010039001484","73","01","-86.809700","33.494100",0,5,884
"616","GLEN OAKS ELEM SCH","010144000518","73","01","-86.927800","33.459600",0,6,362
"617","GLENCOE ELEM SCH","010138000497","55","01","-85.932100","33.958200",0,4,357
"618","GLENCOE HIGH SCH","010138000498","55","01","-85.935400","33.967700",9,12,324
"619","GLENCOE MIDDLE SCH","010138001507","55","01","-85.935200","33.968600",5,8,329
"620","GLENDALE ELEM SCH","010237000923","97","01","-88.076300","30.733100",-1,5,524.598433921844
"621","GLENN MIDDLE SCH","010039001717","73","01","-86.864200","33.516300",6,8,524.598433921844
"622","GLENWOOD WILDERNESS","010003302130","73","01","-86.659600","33.483800",-2,-2,524.598433921844
"623","GOALS ALT SCH","010009001249","15","01","-85.820000","33.661200",0,12,524.598433921844
"624","GOING ELEM SCH-MAGNET","010039000130","73","01","-86.685000","33.606900",0,5,524.598433921844
"625","GOLDEN SPRINGS ELEM SCH","010009000017","15","01","-85.775500","33.631700",-1,5,223
"626","GOLDSMITH-SCHIFFMAN ELEM","010180002173","89","01","-86.485600","34.628200",-1,5,605
"627","GOOD HOPE ELEM SCH","010102000403","43","01","-86.879600","34.102000",3,5,303
"628","GOOD HOPE HIGH SCH","010102000379","43","01","-86.881000","34.102700",9,12,410
"629","GOOD HOPE MIDDLE SCH","010102000413","43","01","-86.880000","34.103500",6,8,373
"630","GOOD HOPE PRIMARY SCH","010102001444","43","01","-86.886100","34.096500",-1,2,339
"631","GOODWILL EASTER SEAL CTR SPEC CHILD","010237001597","97","01","-88.161600","30.690100",-1,-1,14
"632","GOODWYN JR HIGH SCH","010243001017","101","01","-86.245600","32.380100",6,8,640
"633","GORDO ELEM SCH","010273001103","107","01","-87.906700","33.325000",0,6,650
"634","GORDO HIGH SCH","010273001104","107","01","-87.906700","33.324100",7,12,523
"635","GOSHEN ELEM SCH","010279001113","109","01","-86.101600","31.719600",0,6,485
"636","GOSHEN HIGH SCH","010279001114","109","01","-86.123700","31.723600",7,12,465
"637","GRAHAM ELEM SCH","010315001203","121","01","-86.094200","33.430800",0,6,313
"638","GRAND BAY MIDDLE SCH","010237000938","97","01","-88.345600","30.480400",6,8,791
"639","GRANDVIEW ELEM SCH","010123000449","69","01","-85.375800","31.211700",0,5,398
"640","GRANT ELEM SCH","010237001028","97","01","-88.091200","30.732900",-1,5,360
"641","GRANTSWOOD COMM ELEM SCH","010192001539","73","01","-86.654100","33.531700",0,2,405
"642","GRASSY ELEM SCH","010000600880","95","01","-86.442200","34.344400",3,5,264
"643","GREEN ACRES MIDDLE SCH","010039000133","73","01","-86.897100","33.470700",6,8,345
"644","GREEN VALLEY ELEM SCH","010000701739","73","01","-86.808800","33.395700",0,5,448
"645","GREENE CO CAREER CTR","010168002181","63","01","-87.900000","32.847900",9,12,524.598433921844
"646","GREENE CO HIGH SCH","010168000576","63","01","-87.900000","32.848000",9,12,345
"647","GREENSBORO ELEM SCH","010171002158","65","01","-87.599500","32.702600",-1,5,503
"648","GREENSBORO HIGH SCH","010171002162","65","01","-87.589000","32.707100",9,12,353
"649","GREENSBORO MIDDLE SCH","010171002156","65","01","-87.589000","32.707100",6,8,265
"650","GREENVILLE ELEM SCH","010051001482","13","01","-86.625600","31.834200",3,4,348
"651","GREENVILLE HIGH SCH","010051000226","13","01","-86.651900","31.837100",9,12,691
"652","GREENVILLE MIDDLE SCH","010051000228","13","01","-86.625300","31.838100",5,8,715
"653","GREENWOOD ELEM SCH","010033000082","73","01","-86.933300","33.334100",0,5,286
"654","GREENWOOD ELEM SCH","010192000710","73","01","-86.928300","33.333900",0,5,210
"655","GRESHAM ELEM SCH","010192002080","73","01","-86.758000","33.437400",0,5,377
"656","GRESHAM MIDDLE SCHOOL","010192000731","73","01","-86.758600","33.436500",6,8,524.598433921844
"657","GREYSTONE ELEM SCH","010000700248","117","01","-86.658500","33.413000",0,5,568
"658","GROVE HILL ELEM SCH","010072000302","25","01","-87.791800","31.707900",-1,4,400
"659","GUIN ELEM SCH","010231000865","93","01","-87.915600","33.971900",-1,6,290
"660","GULF SHORES ELEM SCH","010027001477","3","01","-87.680100","30.269000",-1,6,1063
"661","GULF SHORES HIGH SCH","010027000641","3","01","-87.675200","30.268400",9,12,832
"662","GULF SHORES MIDDLE SCH","010027000023","3","01","-87.679000","30.269100",7,8,472
"663","GUNTERSVILLE ELEM SCH","010169000581","95","01","-86.302900","34.353400",0,2,450
"664","GUNTERSVILLE HIGH SCH","010169000582","95","01","-86.313700","34.320000",9,12,593
"665","GUNTERSVILLE MIDDLE SCH","010169000579","95","01","-86.312500","34.358600",6,8,480
"666","GW LONG ELEM SCH","010105000281","45","01","-85.551600","31.558800",0,6,469
"667","GWIN ELEM SCH","010000701740","73","01","-86.831200","33.388200",0,5,592
"668","HACKLEBURG ELEM SCH","010231002160","93","01","-87.831200","34.281900",0,6,232
"669","HACKLEBURG SCH","010231000866","93","01","-87.832600","34.280800",7,12,215
"670","HALCYON ELEM SCH","010243001459","101","01","-86.163500","32.352800",0,5,639
"671","HALE CO HIGH SCH","010171000588","65","01","-87.620600","32.999000",7,12,543
"672","HALE CO TECH CTR","010171000875","65","01","-87.590700","32.724700",9,12,524.598433921844
"673","HALEYVILLE CTR OF TECH","010172001370","133","01","-87.607500","34.224900",7,12,524.598433921844
"674","HALEYVILLE ELEM SCH","010172001795","133","01","-87.606800","34.227200",-1,5,822
"675","HALEYVILLE HIGH SCH","010172000594","133","01","-87.606900","34.225300",9,12,492
"676","HALEYVILLE MIDDLE SCH","010172001885","133","01","-87.606700","34.227600",6,8,393
"677","HALL KENT ELEM SCH","010176000607","73","01","-86.825300","33.457200",-1,5,652
"678","HAMILTON ELEM SCH","010231001552","93","01","-88.002100","34.133400",-1,4,668
"679","HAMILTON HIGH SCH","010231000868","93","01","-87.991300","34.138800",9,12,474
"680","HAMILTON MIDDLE SCH","010231000867","93","01","-87.991400","34.138300",5,8,560
"681","HAMPTON COVE ELEM","010180000533","89","01","-86.477900","34.661900",-1,5,541
"682","HAMPTON COVE MIDDLE SCH","010180002093","89","01","-86.477900","34.661900",6,8,610
"683","HANCEVILLE ELEM SCH","010102000414","43","01","-86.762100","34.060400",0,5,532
"684","HANCEVILLE HIGH SCH","010102000380","43","01","-86.761600","34.060700",9,12,392
"685","HANCEVILLE MIDDLE SCH","010102000420","43","01","-86.761000","34.060600",6,8,281
"686","HANDLEY HIGH SCH","010285001126","111","01","-85.372100","33.149500",9,12,454
"687","HANDLEY MIDDLE SCH","010285001127","111","01","-85.351000","33.146000",4,8,573
"688","HANDY SCH","010153001663","77","01","-87.690600","34.799300",-1,-1,38
"689","HARLAN ELEM SCH","010153000534","77","01","-87.682800","34.832200",-1,4,480
"690","HARMONY SCH","010102001676","43","01","-87.068500","34.142600",0,8,211
"691","HARRAND CREEK ELEM SCH","010132001719","31","01","-85.814600","31.336200",1,6,411
"692","HARRISON ELEM SCH","010243001018","101","01","-86.303300","32.326000",-1,5,524.598433921844
"693","HARRY N MIXON ELEM SCH","010264001084","45","01","-85.646800","31.435600",1,5,521
"694","HARTSELLE AREA VOC CTR","010173001371","103","01","-86.932500","34.435600",9,12,524.598433921844
"695","HARTSELLE HIGH SCH","010173000599","103","01","-86.923600","34.454400",9,12,962
"696","HARTSELLE JR HIGH SCH","010173000598","103","01","-86.931300","34.436000",7,8,481
"697","HARVEST SCH","010222000835","89","01","-86.748200","34.848400",0,5,700
"698","HATTON ELEM SCH","010204000779","79","01","-87.417700","34.562300",0,6,412
"699","HATTON ELEM SCH","010084000336","33","01","-87.483800","34.757100",0,6,243
"700","HATTON HIGH SCH","010204000780","79","01","-87.414900","34.561000",7,12,375
"701","HAYDEN ELEM SCH","010042000101","9","01","-86.770600","33.881400",3,4,371
"702","HAYDEN HIGH SCH","010042000208","9","01","-86.768100","33.886900",8,12,949
"703","HAYDEN MIDDLE SCH","010042001870","9","01","-86.756600","33.890100",5,7,551
"704","HAYDEN PRIMARY SCH","010042000207","9","01","-86.769400","33.883400",0,2,549
"705","HAYES HIGH SCH","010039000134","73","01","-86.771500","33.531300",9,11,524.598433921844
"706","HAYES K-8","010039002206","73","01","-86.771500","33.531300",-1,8,873
"707","HAYNEVILLE MIDDLE SCH","010216001636","85","01","-86.580800","32.183300",6,8,248
"708","HAYNEVILLE ROAD ELEM SCH","010243001019","101","01","-86.355400","32.348400",0,5,524.598433921844
"709","HAZEL GREEN ELEM SCH","010222000030","89","01","-86.570600","34.934300",-1,5,965
"710","HAZEL GREEN HIGH SCH","010222000836","89","01","-86.569900","34.937600",9,12,1365
"711","HAZLEWOOD ELEM SCH","010204000781","79","01","-87.408800","34.681800",0,8,200
"712","HEAD ELEM SCH","010243001020","101","01","-86.244000","32.381900",0,6,524.598433921844
"713","HEAD START PERRY CTY","010267002129","105","01","-87.321300","32.639000",-2,-2,524.598433921844
"714","HEADLAND ALT SCH","010174002122","67","01","-85.336800","31.347100",1,12,524.598433921844
"715","HEADLAND ELEM SCH","010174000603","67","01","-85.338200","31.348500",-1,5,815
"716","HEADLAND HIGH SCH","010174000604","67","01","-85.339700","31.348500",10,12,376
"717","HEADLAND MIDDLE SCH","010174000605","67","01","-85.338200","31.356800",6,9,542
"718","HEARD ELEM SCH","010123000450","69","01","-85.428000","31.220500",0,5,389
"719","HELEN KELLER SCHOOL","010000901405","121","01","-86.089100","33.462600",0,12,524.598433921844
"720","HELENA ELEM SCH","010303001175","117","01","-86.846300","33.290400",0,2,794
"721","HELENA INTERMEDIATE SCH","010303001442","117","01","-86.866300","33.292300",3,5,884
"722","HELENA MIDDLE","010303002128","117","01","-86.867700","33.275700",6,8,887
"723","HEMPHILL ELEM SCH","010039000136","73","01","-86.851900","33.493100",-1,5,533
"724","HENAGAR JR HIGH SCH","010114000418","49","01","-85.768000","34.635100",0,8,300
"725","HERITAGE ELEM SCH","010000801423","89","01","-86.783200","34.721100",0,6,792
"726","HEWITT-TRUSSVILLE HIGH SCH","010001301682","73","01","-86.588800","33.665400",9,12,1396
"727","HEWITT-TRUSSVILLE MIDDLE SCH","010001300714","73","01","-86.593200","33.655600",6,8,1000
"728","HIBBETT SCH","010153001664","77","01","-87.695400","34.821500",5,6,661
"729","HIDDEN LAKE ELEM SCH","010123001447","69","01","-85.348000","31.194400",0,5,589
"730","HIGDON HILL SCHOOL","010017802113","73","01","-86.730600","33.548900",-2,-2,524.598433921844
"731","HIGHLAND AVENUE ELEM SCH","010243001021","101","01","-86.281100","32.371500",0,5,408
"732","HIGHLAND ELEM SCH","010138000503","55","01","-85.989300","34.081400",0,6,169
"733","HIGHLAND GARDENS ELEM SCH","010243001022","101","01","-86.279500","32.399000",0,5,467
"734","HIGHLAND HOME HIGH SCH","010096000367","41","01","-86.313500","31.953000",-1,12,807
"735","HIGHLAND PK ELEM SCH","010252001060","33","01","-87.662700","34.739200",1,2,237
"736","HIGHLANDS ELEM SCH","010123001448","69","01","-85.486800","31.221100",0,5,560
"737","HIGHLANDS ELEM SCH","010180000630","89","01","-86.632400","34.757900",-1,5,440
"738","HILL ELEM SCH","010039000137","73","01","-86.831200","33.512300",0,5,524.598433921844
"739","HILLCREST ELEM SCH","010132000478","31","01","-85.854300","31.322100",1,6,750
"740","HILLCREST HIGH SCH","010339000052","125","01","-87.537800","33.130000",9,12,1334
"741","HILLCREST HIGH SCH","010087001766","35","01","-86.937200","31.431200",9,12,389
"742","HILLCREST MIDDLE SCH","010339001280","125","01","-87.539800","33.132400",6,8,605
"743","HILLVIEW ELEM SCH","010192000715","73","01","-86.875400","33.568200",0,5,286
"744","HOKES BLUFF ELEM SCH","010138000499","55","01","-85.869000","33.996200",0,5,582
"745","HOKES BLUFF HIGH SCH","010138001662","55","01","-85.869400","34.013000",9,12,414
"746","HOKES BLUFF MIDDLE SCH","010138000500","55","01","-85.872200","33.994700",6,8,322
"747","HOLLINGERS ISLAND ELEM SCH","010237000927","97","01","-88.093600","30.544300",-1,5,331
"748","HOLLOWAY ELEM","010237001617","97","01","-88.097900","30.709700",0,5,711
"749","HOLLY HILL ELEM SCH","010132000479","31","01","-85.845700","31.338200",1,6,594
"750","HOLLY POND ELEM SCH","010102000440","43","01","-86.618700","34.176300",0,5,437
"751","HOLLY POND HIGH SCH","010102000381","43","01","-86.619000","34.176900",9,12,318
"752","HOLLY POND MIDDLE","010102002132","43","01","-86.618600","34.177200",6,8,259
"753","HOLLYWOOD ELEM SCH","010183000659","71","01","-85.969100","34.722300",-1,8,143
"754","HOLT ELEM SCH","010339001272","125","01","-87.580800","33.233600",-1,5,444
"755","HOLT HIGH SCH","010339001282","125","01","-87.487500","33.236000",9,12,409
"756","HOLTVILLE ELEM SCH","010129001769","51","01","-86.327400","32.635300",-1,4,711
"757","HOLTVILLE HIGH SCH","010129000465","51","01","-86.326100","32.635600",9,12,497
"758","HOLTVILLE MIDDLE SCH","010129001451","51","01","-86.324900","32.630200",5,8,519
"759","HOMEBOUND ELEM SCH","010039001764","73","01","-86.809100","33.520000",0,6,524.598433921844
"760","HOMEBOUND HIGH SCH","010039001765","73","01","-86.809100","33.520000",7,12,524.598433921844
"761","HOMEWOOD HIGH SCH","010176000608","73","01","-86.790500","33.460500",9,12,1035
"762","HOMEWOOD MIDDLE SCH","010176000609","73","01","-86.811500","33.477700",6,8,897
"763","HONEYSUCKLE MIDDLE SCH","010123001500","69","01","-85.434500","31.204800",6,8,612
"764","HOOVER HIGH FRESHMAN CTR","010000701825","117","01","-86.852500","33.330900",9,9,524.598433921844
"765","HOOVER HIGH SCH","010000700251","73","01","-86.837700","33.344400",9,12,2770
"766","HOPE ACADEMY","010141001874","5","01","-85.151300","31.868300",6,12,524.598433921844
"767","HORIZON ELEM SCH","010000800303","89","01","-86.713700","34.705800",0,6,647
"768","HORIZON HIGH SCH","010117002090","103","01","-86.976000","34.606900",8,12,524.598433921844
"769","HORSESHOE BEND HIGH SCH","010321000038","123","01","-85.805300","33.017100",0,12,781
"770","HOUSTON CO ALT SCH","010177000882","69","01","-85.392900","31.227700",0,12,524.598433921844
"771","HOUSTON CO AREA VOC CTR","010177000885","69","01","-85.230200","31.184000",9,12,524.598433921844
"772","HOUSTON CO HIGH SCH","010177000614","69","01","-85.113600","31.293400",7,12,360
"773","HOUSTON HILL JR HIGH SCH","010243001023","101","01","-86.291200","32.377600",7,8,524.598433921844
"774","HOWELL GRAVES PRESCH","010252001800","33","01","-87.637600","34.738300",-1,0,260
"775","HUBBERTVILLE SCH","010147000525","57","01","-87.742300","33.829500",-1,12,385
"776","HUDSON K-EIGHT SCH","010039000139","73","01","-86.804800","33.555700",-1,8,758
"777","HUEYTOWN ELEM SCH","010192000716","73","01","-86.991000","33.442100",0,5,855
"778","HUEYTOWN HIGH SCH","010192000717","73","01","-87.032900","33.429300",9,12,1113
"779","HUEYTOWN MIDDLE SCH","010192000735","73","01","-86.987100","33.437100",6,8,771
"780","HUFFMAN ACAD","010039002185","73","01","-86.680200","33.619100",-1,5,756
"781","HUFFMAN HIGH SCH-MAGNET","010039000141","73","01","-86.682000","33.612900",9,12,1271
"782","HUFFMAN MIDDLE SCH","010039000140","73","01","-86.692800","33.595000",6,8,322
"783","HUGULEY ELEM SCH","010060000260","17","01","-85.228300","32.834800",-1,5,412
"784","HUNTINGTON PLACE ELEM SCH","010339001633","125","01","-87.592800","33.301400",0,5,478
"785","HUNTSVILLE CTR FOR TECH","010180001379","89","01","-86.603600","34.700600",9,12,524.598433921844
"786","HUNTSVILLE HIGH SCH","010180000631","89","01","-86.583500","34.713500",9,12,1749
"787","HUNTSVILLE MIDDLE SCH","010180000632","89","01","-86.575000","34.723700",6,8,559
"788","HUTCHENS ELEM SCH","010237001414","97","01","-88.278500","30.616600",0,2,567
"789","HUXFORD ELEM SCH","010135000488","53","01","-87.462300","31.224400",0,6,292
"790","IDER SCH","010114000419","49","01","-85.675400","34.712200",0,12,768
"791","INDIAN SPRINGS ELEM SCH","010237000928","97","01","-88.158500","30.761900",-1,5,438
"792","INDIAN VALLEY ELEM SCH","010312001594","121","01","-86.229900","33.193100",-1,2,567
"793","INGLENOOK SCH","010039000142","73","01","-86.781500","33.563800",0,8,409
"794","INVERNESS ELEM SCH","010303001621","117","01","-86.700900","33.409500",0,3,682
"795","IOLA ROBERTS ELEM SCH","010265001572","115","01","-86.282200","33.596500",0,4,463
"796","IRA F SIMMONS MIDDLE SCH","010000701741","73","01","-86.833700","33.387900",6,8,840
"797","IRONDALE COMM SCH","010192000718","73","01","-86.709200","33.534800",3,5,394
"798","IRONDALE MIDDLE SCHOOL","010192002117","73","01","-86.662800","33.543400",6,8,611
"799","ISABELLA HIGH SCH","010066000261","21","01","-86.785600","32.828700",0,12,674
"800","IVALEE ELEM SCH","010138000501","55","01","-86.125500","34.036100",0,6,249
"801","J E TURNER ELEM","010237001516","97","01","-88.277800","30.867200",0,5,541
"802","J F SHIELDS HIGH SCH","010240000979","99","01","-87.196800","31.733100",-1,12,277
"803","J LARRY NEWTON SCH","010027000660","3","01","-87.856900","30.473700",0,6,655
"804","J U BLACKSHER SCH","010240000980","99","01","-87.502100","31.302400",-1,12,657
"805","JACKSON CO ALT SCH","010183000888","71","01","-85.964200","34.731700",-1,12,524.598433921844
"806","JACKSON ELEM SCH","010039000143","73","01","-86.855600","33.479500",0,5,524.598433921844
"807","JACKSON HIGH SCH","010072001493","25","01","-87.885100","31.548200",9,12,668
"808","JACKSON INTERMEDIATE SCH","010072001450","25","01","-87.897100","31.530500",3,5,414
"809","JACKSON MIDDLE SCH","010072000304","25","01","-87.894700","31.512900",6,8,437
"810","JACKSON-OLIN HIGH SCH","010039000164","73","01","-86.891700","33.517900",9,12,1073
"811","JACKSON-STEELE ELEM SCH","010216000821","85","01","-86.714800","32.296200",0,5,201
"812","JACKSONVILLE HIGH SCH","010186000673","15","01","-85.778400","33.788100",7,12,699
"813","JAMES A DAVIS MIDDLE SCH","010033000086","73","01","-86.984600","33.367900",6,8,954
"814","JAMES CLEMENS HIGH SCH","010000802198","83","01","-86.786600","34.705600",9,12,1405
"815","JAMES E WILLIAMS SCH","010180001796","89","01","-86.726900","34.630100",-1,5,469
"816","JAMES L COWART ELEM SCH","010012001474","83","01","-86.993500","34.804500",0,4,282
"817","JAMES W WILSON JR ELEM SCH","010243002151","101","01","-86.151800","32.305900",-1,5,512
"818","JB PENNINGTON HIGH SCH","010042000209","9","01","-86.588800","34.085800",7,12,619
"819","JE HOBBS ELEM SCH","010351001344","131","01","-87.285100","31.993000",-1,6,550
"820","JE TERRY ELEM SCH","010111000401","47","01","-86.925100","32.653100",0,6,120
"821","JEFFERSON CO COUNS AND LEARNING CTR-WEST","010192001862","73","01","-86.993000","33.445400",0,12,524.598433921844
"822","JEFFERSON CO COUNSELING LEARNING CTR","010192000466","73","01","-86.762300","33.605800",0,12,524.598433921844
"823","JEFFERSON CO IBS","010192000917","73","01","-86.667000","33.542300",9,12,524.598433921844
"824","JEFFERSON DAVIS HIGH SCH","010243001024","101","01","-86.262600","32.343200",9,12,2056
"825","JEMISON ELEM SCH","010066001657","21","01","-86.729400","32.982600",0,4,927
"826","JEMISON HIGH SCH","010066000262","21","01","-86.748500","32.965000",8,12,789
"827","JEMISON MIDDLE SCH","010066000745","21","01","-86.729500","32.981100",5,7,544
"828","JEREMIAH A DENTON MIDDLE SCH","010237000897","97","01","-88.148900","30.662200",6,8,673
"829","JERRY LEE FAINE ELEM SCH","010123000456","69","01","-85.371900","31.234300",-1,5,398
"830","JESS LANIER HIGH SCH","010033000087","73","01","-87.000600","33.370000",9,12,996
"831","JETER PRIMARY SCH","010258001068","81","01","-85.367400","32.656000",-1,2,374
"832","JIM PEARSON ELEM SCH","010003000004","123","01","-85.930700","32.931200",0,2,729
"833","JO JOHNSON HIGH SCH","010180000633","89","01","-86.609400","34.799300",9,12,607
"834","JOE M GILLMORE ELEM SCH","010072000305","25","01","-87.896200","31.531700",-1,2,431
"835","JOHN ESSEX HIGH SCH","010225000854","91","01","-87.849200","32.492900",0,12,129
"836","JOHN L LEFLORE PREPARATORY ACAD","010237000962","97","01","-88.086500","30.714200",9,12,1044
"837","JOHN P POWELL MIDDLE SCH","010060000269","17","01","-85.397200","32.888700",6,8,151
"838","JOHN S JONES ELEM SCH","010138000502","55","01","-86.059900","33.944800",0,5,714
"839","JOHN S SHAW HIGH SCH","010237000929","97","01","-88.183100","30.717000",11,12,524.598433921844
"840","JOHN WILL ELEM SCH","010237000930","97","01","-88.175500","30.713600",-1,5,570
"841","JOHNNIE R CARR JR HIGH SCH","010243002152","101","01","-86.134700","32.314200",6,8,826
"842","JOHNSON ELEM SCH","010210000802","83","01","-86.838900","34.868000",0,5,302
"843","JOHNSON ELEM SCH","010243001025","101","01","-86.283400","32.316900",0,5,514
"844","JONES VALLEY ELEM SCH","010180000634","89","01","-86.554200","34.696400",-1,5,459
"845","JONESBORO ELEM SCH","010033000088","73","01","-86.958700","33.378500",0,5,745
"846","JOSEPH W LISENBY ELEMENTARY SCHOOL","010264001085","45","01","-85.628500","31.471600",1,5,292
"847","JULIAN HARRIS ELEM SCH","010117001728","103","01","-87.034900","34.576500",0,5,431
"848","JULIAN NEWMAN ELEM SCH","010012001475","83","01","-86.962600","34.799100",0,4,389
"849","JUST 4 DEV LABORATORY","010237001799","97","01","-88.083500","30.715200",-1,-1,337
"850","K J CLARK MIDDLE SCH","010237000931","97","01","-88.182500","30.716800",5,8,902
"851","KATE D SMITH DAR ELEM SCH","010000601685","95","01","-86.253700","34.533700",0,4,434
"852","KATE D SMITH DAR HIGH SCH","010000600883","95","01","-86.253700","34.533700",9,12,463
"853","KATE DUNCAN SMITH DAR MIDDLE","010000600193","95","01","-86.253700","34.533700",5,8,439
"854","KATE SHEPARD ELEM SCH","010237000956","97","01","-88.143600","30.641000",-1,5,519
"855","KATHERINE H HANKINS MIDDLE SCH","010237000961","97","01","-88.175100","30.552600",6,8,834
"856","KEITH MIDDLE-HIGH SCH","010111000402","47","01","-87.235700","32.292500",6,12,329
"857","KELLY SPRINGS ELEM SCH","010123001817","69","01","-85.466700","31.278700",0,5,362
"858","KENNEDY ALTERNATIVE","010039001288","73","01","-86.744900","33.548000",9,12,524.598433921844
"859","KERMIT JOHNSON SCH","010192001542","73","01","-86.698600","33.752900",3,5,786
"860","KILBY LABORATORY SCH","010201000769","77","01","-87.681000","34.805500",0,6,146
"861","KINGSTON KINDERG-EIGHTH GRADE SCH","010039000147","73","01","-86.768200","33.537200",0,8,524.598433921844
"862","KINSTON SCH","010081000323","31","01","-86.169900","31.221300",0,12,530
"863","KINTERBISH JR HIGH SCH","010309001592","119","01","-88.362400","32.391800",0,8,176
"864","KITTY STONE ELEM SCH","010186000672","15","01","-85.765200","33.815500",0,6,840
"865","KNIGHT ENLOE ELEM SCH","010285001128","111","01","-85.367700","33.157600",0,3,440
"866","KNOX ELEM SCH","010297001156","47","01","-87.029400","32.415000",-1,5,277
"867","L E WILLSON ELEM SCH","010300001168","33","01","-87.691500","34.773900",3,6,317
"868","LACEYS SPRING ELEM SCH","010248001046","103","01","-86.605500","34.533100",0,8,326
"869","LADONIA ELEM SCH","010288001133","113","01","-85.084600","32.468500",-1,6,531
"870","LADOW TECH CTR","010273001131","107","01","-88.169000","33.253300",10,12,524.598433921844
"871","LAFAYETTE EASTSIDE ELEM SCH","010060000256","17","01","-85.394300","32.898000",-1,5,326
"872","LAFAYETTE HIGH SCH","010060000263","17","01","-85.396600","32.899400",9,12,242
"873","LAFAYETTE LANIER ELEM SCH","010060000264","17","01","-85.171800","32.813400",-1,5,257
"874","LAKE VIEW ELEMENTARY SCHOOL","010339001887","125","01","-87.120000","33.270700",-1,5,648
"875","LAKESIDE CTR","010273001698","107","01","-88.094700","33.260400",3,12,524.598433921844
"876","LAKEVIEW DAY SCH PROG","010003302119","73","01","-86.659600","33.483800",-2,-2,524.598433921844
"877","LAKEWOOD ELEM SCH","010270001547","81","01","-85.034600","32.514400",2,5,724
"878","LAKEWOOD ELEM SCH","010180000635","89","01","-86.590300","34.772400",-1,5,473
"879","LAKEWOOD PRIMARY SCH","010270002179","81","01","-85.034600","32.514400",0,1,354
"880","LAMAR CO HIGH-INTERMEDIATE","010195001511","75","01","-88.125700","33.750700",4,12,696
"881","LAMAR CO SCH OF TECH","010195000941","75","01","-88.109700","33.745700",10,12,524.598433921844
"882","LANDMARK ELEM SCH","010123001449","69","01","-85.394700","31.270800",0,5,353
"883","LANETT CENTRAL ELEM SCH","010198001544","17","01","-85.195600","32.867400",0,6,523
"884","LANETT JR HIGH SCH","010198000760","17","01","-85.197000","32.856800",7,8,147
"885","LANETT SENIOR HIGH SCH","010198000759","17","01","-85.197000","32.856800",9,12,224
"886","LANIER SENIOR HIGH SCH","010243001036","101","01","-86.310100","32.355800",9,12,912
"887","LAUDERDALE CO HIGH SCH","010201000767","77","01","-87.290900","34.828200",-1,12,1205
"888","LAWRENCE CO CTR TECH","010204000958","79","01","-87.297000","34.476800",10,12,524.598433921844
"889","LAWRENCE CO HIGH SCH","010204000783","79","01","-87.298400","34.475600",9,12,629
"890","LAWRENCE COUNTY DEVELOPMENTAL","010204002211","79","01","-87.173600","34.566700",9,12,11
"891","LEARNING TREE INC WEBB","010003501846","15","01","-85.725700","33.920600",-2,-2,524.598433921844
"892","LEE HIGH SCH","010180000636","89","01","-86.579900","34.754900",9,12,821
"893","LEE HIGH SCH","010243001035","101","01","-86.271500","32.377900",9,12,1707
"894","LEEDS ELEM SCH","010001102094","73","01","-86.548100","33.545200",0,4,892
"895","LEEDS HIGH SCH","010001102096","73","01","-86.572400","33.547200",9,12,477
"896","LEEDS MIDDLE SCH","010001102095","73","01","-86.535600","33.548300",5,8,544
"897","LEGACY ELEM SCH","010222001820","89","01","-86.743600","34.795100",-1,5,706
"898","LEIGHTON ELEM SCH","010084000338","33","01","-87.523400","34.697800",-1,6,296
"899","LEINKAUF ELEM SCH","010237000932","97","01","-88.070700","30.679300",0,5,427
"900","LEON SHEFFIELD MAGNET ELEM SCH","010117000431","103","01","-86.996500","34.619900",3,5,355
"901","LEROY HIGH SCH","010348001337","129","01","-87.970600","31.502300",0,12,734
"902","LEWIS ELEM SCH","010039000150","73","01","-86.823900","33.544800",-1,5,370
"903","LEXINGTON SCH","010201000770","77","01","-87.373000","34.967400",0,12,902
"904","LIBERTY MIDDLE SCH","010000801798","89","01","-86.779200","34.733700",7,8,748
"905","LIBERTY PK ELEM","010343001425","73","01","-86.671600","33.478800",-1,5,628
